the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E6100000F146E6913F14494087A757CA32E24340,En route,Aeroflot,33,South off Baku,Azerbaijan,sea,"April 23, 1966",Domestic Scheduled Passenger,Baku-Bina International Airport in Azerbaijan,Makhachkala Airport in Dagestan,19660423-1,Ilyushin 14,,19660423-1,2023-04-01,1966,88,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000543A58FFE77446C05A7F4B00FEEF4240,En route,United States Air Force,23,unknown area,Atlantic Ocean,sea,"January 26, 1961",Military,Terceira-Lajes Airport in the Azores,Argentia naval air station in Canada,19610126-1,Douglas C-118A (DC-6),,19610126-1,2026-01-01,1961,89,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000006B9BE271517350C0E998F38C7D312FC0,En route,Transporte Aéreo Militar,24,between Santa Rosa and La Paz,Bolivia,land,"January 10, 1974",Domestic Non Scheduled Passenger,Santa Rosa Airport,"La Paz-El Alto Airport, within Bolivia",19740110-0,Douglas DC-4,0,19740110-0,2010-01-01,1974,90,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000889E94490D2D5B4016A3AEB5F7992E40,En route,Air Vietnam,27,20 km NNW off Quang-Ngai,Vietnam,land,"November 17, 1973",Domestic Scheduled Passenger,Saigon-Tan Son Nhat International Airport,"Quang Ngai Airport, within Vietnam",19731117-0,Douglas DC-3,0,19731117-0,2017-11-01,1973,91,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000899B53C9003153C0658D7A88463F3840,En route,United States Air Force,9,off Bahamas,Atlantic Ocean,sea,"June 5,1965",Military,Homestead air force base in Florida,Grand Turk Island Airport in the Turks and Caicos Islands,19650605-0,Fairchild C-119F Flying Boxcar,,19650605-0,2005-06-01,1965,92,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000007978CF81E56C3C404AD3A0681ECE4140,Unknown,Middle East Airlines,5,unknown area,Mediterranean Sea,sea,"September 29, 1958",Cargo,Beirut International Airport in Lebanon,Roma-Ciampino Airport in Italy,19580929-0,Avro 685 York I,,19580929-0,2029-09-01,1958,93,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000087C5A86BED6F5040CB10C7BAB8153740,En route,Indian Air Force,7,450 km off Jamnagar,India,sea,"March 25,1986",Ferry/positioning,"Muscat International Airport, UAE,",unknown airport in India,19860325-1,Antonov 32,0,19860325-1,2025-03-01,1986,94,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000008109DCBA1B7C66C0DDCD531D72614A40,En route,United States Air Force,19,"ca 400 km E off Shemya, Alaska",USA,sea,"June 5, 1969",Military,Shemya air force base,"Fairbanks-Eielson air force base, within Alaska",19690605-0,Boeing RC-135E,,19690605-0,2005-06-01,1969,95,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000BA13ECBF4EC16140DB6E826F9AAC4040,En route,United States Air Force,67,320 km SE of Tokyo,Japan,sea,"March 22, 1957",Military,Fairfield-Travis air force base in California,"Tokyo, Japan",19570322-0,Boeing C-97C Stratofreighter,,19570322-0,2022-03-01,1957,96,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000008E588B4F01C162C06E14596B285B4D40,En route,US Department of the Interior,4,off Alaska,USA,sea,"September 30, 1974",Survey/research,"Anchorage International Airport, AK","Kodiak Airport, within Alaska",19740930-2,Grumman G-73 Mallard,0,19740930-2,1930-09-01,1974,97,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
